Year,Tournament_link
1971,https://www.atptour.com/en/scores/archive/dublin/2029/1971/draw
1971,https://www.atptour.com/en/scores/archive/munich/308/1971/draw
1971,https://www.atptour.com/en/scores/archive/washington/418/1971/draw
1971,https://www.atptour.com/en/scores/archive/osaka/663/1971/draw
1971,https://www.atptour.com/en/scores/archive/tanglewood/2051/1971/draw
1971,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1971/draw
1971,https://www.atptour.com/en/scores/archive/quebec-wct/1498/1971/draw
1971,https://www.atptour.com/en/scores/archive/columbus/343/1971/draw
1971,https://www.atptour.com/en/scores/archive/amersfoort/317/1971/draw
1971,https://www.atptour.com/en/scores/archive/boston/417/1971/draw
1971,https://www.atptour.com/en/scores/archive/cincinnati/422/1971/draw
1971,https://www.atptour.com/en/scores/archive/senigallia/6834/1971/draw
1971,https://www.atptour.com/en/scores/archive/montreal/421/1971/draw
1971,https://www.atptour.com/en/scores/archive/houston/717/1971/draw
1971,https://www.atptour.com/en/scores/archive/fort-worth/653/1971/draw
1971,https://www.atptour.com/en/scores/archive/merion/2030/1971/draw
1971,https://www.atptour.com/en/scores/archive/south-orange/707/1971/draw
1971,https://www.atptour.com/en/scores/archive/hilton-head/724/1971/draw
1971,https://www.atptour.com/en/scores/archive/us-open/560/1971/draw
1971,https://www.atptour.com/en/scores/archive/sacramento/654/1971/draw
1971,https://www.atptour.com/en/scores/archive/los-angeles/423/1971/draw
1971,https://www.atptour.com/en/scores/archive/midland/6832/1971/draw
1971,https://www.atptour.com/en/scores/archive/dallas/424/1971/draw
1971,https://www.atptour.com/en/scores/archive/vancouver/2048/1971/draw
1971,https://www.atptour.com/en/scores/archive/cologne/332/1971/draw
1971,https://www.atptour.com/en/scores/archive/barcelona/425/1971/draw
1971,https://www.atptour.com/en/scores/archive/antwerp/430/1971/draw
1971,https://www.atptour.com/en/scores/archive/stockholm/429/1971/draw
1971,https://www.atptour.com/en/scores/archive/bologna/312/1971/draw
1971,https://www.atptour.com/en/scores/archive/london/2016/1971/draw
1971,https://www.atptour.com/en/scores/archive/dallas/610/1971/draw
1971,https://www.atptour.com/en/scores/archive/buenos-aires/303/1971/draw
1971,https://www.atptour.com/en/scores/archive/nitto-atp-finals/605/1971/draw
1971,https://www.atptour.com/en/scores/archive/brisbane/9341/1971/draw
1971,https://www.atptour.com/en/scores/archive/kingston/9204/1971/draw
1972,https://www.atptour.com/en/scores/archive/auckland/301/1972/draw
1972,https://www.atptour.com/en/scores/archive/australian-open/580/1972/draw
1972,https://www.atptour.com/en/scores/archive/sydney/338/1972/draw
1972,https://www.atptour.com/en/scores/archive/baltimore/816/1972/draw
1972,https://www.atptour.com/en/scores/archive/jacksonville/2047/1972/draw
